Gene,C,Z,Pval,FDR,Module
SPIDR,0.06139327430340608,122.68524364758781,0.0,0.0,10.0
USP25,0.06621521763654077,122.30959181791387,0.0,0.0,-1.0
ATP1B3,0.09936494505570206,122.2986426119632,0.0,0.0,9.0
ARID5B,0.06613154833329453,122.21709958553926,0.0,0.0,3.0
GADD45B,0.10817757618764916,122.08730573965636,0.0,0.0,6.0
MALT1,0.09815296803687286,121.49364695508908,0.0,0.0,9.0
TRIO,0.06989059443076093,121.10752120244526,0.0,0.0,11.0
ZBTB20,0.05647268168237615,120.86799375963129,0.0,0.0,11.0
MAFB,0.0858107446852865,120.74295834815176,0.0,0.0,6.0
SNX9,0.07501070374124102,120.65074115986451,0.0,0.0,9.0
CCL4L2,0.08175518168777039,120.37648090430869,0.0,0.0,3.0
MAP3K8,0.0858059498148218,120.28376128003663,0.0,0.0,9.0
ATXN1,0.06146259708238812,119.55954221621072,0.0,0.0,4.0
PTCH2,0.06413762436015694,119.34657777729326,0.0,0.0,5.0
RGL1,0.12232037196856807,119.31207381303174,0.0,0.0,-1.0
WLS,0.05494171610982123,118.73158109240006,0.0,0.0,4.0
ZNF331,0.11395906506529506,118.5844651083677,0.0,0.0,9.0
GAS7,0.08406528750695212,118.45225930108357,0.0,0.0,12.0
OLR1,0.07530056332371593,117.93832097788126,0.0,0.0,9.0
B4GALT5,0.09123326680301395,117.34601203088158,0.0,0.0,3.0
SFMBT2,0.08045401391358507,116.95414684924152,0.0,0.0,7.0
ENTPD1-AS1,0.04128741708537045,116.82127748101937,0.0,0.0,15.0
PHACTR1,0.06705298287495719,116.7774723506608,0.0,0.0,9.0
TTC7A,0.07151031303419964,116.7705043182871,0.0,0.0,12.0
HBEGF,0.08954732691369557,116.64232012833263,0.0,0.0,9.0
PPP1CB,0.07806270510130944,116.36994135442339,0.0,0.0,9.0
ZFP36L2,0.06408808593294202,116.33067105821921,0.0,0.0,12.0
ZSWIM6,0.06842922134576578,116.15839212053234,0.0,0.0,9.0
GPR132,0.06779277594521693,115.44798259244973,0.0,0.0,3.0
OSBPL3,0.06572007038210408,114.6171310458525,0.0,0.0,7.0
CNDP2,0.09568352765938397,114.34255619820378,0.0,0.0,1.0
ADGRB3,0.036626836494706265,114.12209116959039,0.0,0.0,4.0
LUCAT1,0.05623956204026717,113.58653741958005,0.0,0.0,8.0
MIR646HG,0.05358920850297395,113.42764840404583,0.0,0.0,4.0
CDC42EP3,0.06073264820810702,113.23106305193191,0.0,0.0,4.0
NLRC5,0.07296987012043227,112.8607439875817,0.0,0.0,-1.0
NEDD9,0.05863373735486121,112.5704691601924,0.0,0.0,9.0
AL450992.3,0.04715561600732066,112.51907670702468,0.0,0.0,5.0
FOXN3,0.0755946586890813,112.04271071829304,0.0,0.0,-1.0
TBC1D5,0.054924360600863226,111.35413296315446,0.0,0.0,11.0
RAB20,0.07251297834281051,111.17637053814072,0.0,0.0,9.0
