Gene,C,Z,Pval,FDR,Module
LIN7A,0.05435465382881172,136.76578551833705,0.0,0.0,4.0
JMJD1C,0.07630408896057685,136.47777016427065,0.0,0.0,9.0
CD52,0.09200358896400085,135.8939230920612,0.0,0.0,6.0
ACVR2A,0.05626488613812711,135.82937661511025,0.0,0.0,12.0
TBC1D8,0.08186688283637945,135.80558808102845,0.0,0.0,7.0
AC096564.1,0.03999566224058397,135.7846636167822,0.0,0.0,12.0
SLC49A4,0.07225391475361988,135.73357233110596,0.0,0.0,8.0
Z93241.1,0.08948001186432628,135.363581938714,0.0,0.0,5.0
IL15,0.06903935868075319,134.95306551246955,0.0,0.0,-1.0
AC011511.2,0.06899782957108365,134.8851342509651,0.0,0.0,3.0
ISG20,0.1433418327791679,134.69204094957257,0.0,0.0,1.0
PF4,0.11768207734829696,134.67637757706976,0.0,0.0,17.0
ETV7,0.15287803902519978,134.6232365885947,0.0,0.0,1.0
SSBP2,0.06621553066115572,134.58942462727575,0.0,0.0,11.0
MAML2,0.05497023247773737,134.41558591092175,0.0,0.0,4.0
C12orf57,0.07822977357178082,133.37919490869672,0.0,0.0,5.0
SNHG5,0.09388287128214072,133.22950820425726,0.0,0.0,17.0
ATP13A3,0.0893075533614301,132.58339964672192,0.0,0.0,9.0
SETBP1,0.08921736540863014,132.43134531313333,0.0,0.0,7.0
FRMD3,0.06122556771557412,132.41094801708448,0.0,0.0,-1.0
ARL15,0.06619455496031514,132.00316659108583,0.0,0.0,10.0
ANPEP,0.07951989155155648,131.94839084258834,0.0,0.0,8.0
AC004551.1,0.05039484636044129,131.90466854124244,0.0,0.0,2.0
VNN1,0.046268149096608605,131.82523123879537,0.0,0.0,8.0
KCNQ1OT1,0.03620279644147758,131.63937206483297,0.0,0.0,15.0
EMP1,0.10603208312227821,131.39440979980537,0.0,0.0,14.0
MTRNR2L8,0.061987297210780674,131.3000658163634,0.0,0.0,15.0
SERPINB9,0.06874510938427451,131.14487120266315,0.0,0.0,3.0
MXD1,0.06988210188487687,130.82802473133427,0.0,0.0,8.0
SEMA3C,0.04843012105620269,130.7953631079315,0.0,0.0,4.0
SLCO4C1,0.05093408281868903,130.40127936041821,0.0,0.0,4.0
FAM13A,0.0497259722921093,129.84736094501218,0.0,0.0,10.0
CASC8,0.04541972239454842,129.7043547500126,0.0,0.0,4.0
RAB11FIP1,0.08373327941546418,129.68292129569522,0.0,0.0,-1.0
KYNU,0.06505547548012117,129.22885401477535,0.0,0.0,3.0
ZFP36L1,0.07870314873279431,129.0048077535669,0.0,0.0,6.0
LINC01619,0.08195232501547466,128.96334164768203,0.0,0.0,9.0
DUSP6,0.07032856154873993,128.87858919329136,0.0,0.0,-1.0
RFX3,0.06164437354263381,127.1749839271939,0.0,0.0,10.0
ARHGAP31,0.07478185278941528,126.98567445003748,0.0,0.0,7.0
FCGR1B,0.11996525060097186,126.71866492093756,0.0,0.0,1.0
KIAA1958,0.06090825875798188,126.4554906291822,0.0,0.0,-1.0
IFIH1,0.0835043164997816,126.37435548761377,0.0,0.0,2.0
PNPT1,0.09369715306557762,126.1473426003485,0.0,0.0,2.0
CLEC10A,0.14018316598835104,125.78666078321814,0.0,0.0,7.0
MCTP1,0.05736426441631669,125.66343432608106,0.0,0.0,12.0
MGLL,0.08060501103036798,125.52940197606654,0.0,0.0,7.0
SLC9A9,0.05877587202739539,125.45109581276304,0.0,0.0,10.0
AC006160.1,0.055120093689937276,125.04789510965809,0.0,0.0,-1.0
PARP12,0.08670690447806904,124.89807976378444,0.0,0.0,2.0
ELL2,0.09061217066140571,124.22096462275724,0.0,0.0,9.0
TMEM107,0.07061930756347165,123.8004768563938,0.0,0.0,5.0
OASL,0.10308930143631614,123.16042463142178,0.0,0.0,2.0
SVIL,0.05979381669384396,122.96752025022904,0.0,0.0,4.0
TIAM1,0.05616633121330599,122.73740618443838,0.0,0.0,11.0
EZR,0.07591714311423742,122.7175252694152,0.0,0.0,14.0
